Start Year,End Year,Data Year,State Accountability Calculation,Campus Number,Campus Name,Street Address,City,Zip Code,Type of School,District Number,District Name,County Number,County Name,Region Number,Region Name,Travis County all students graduation rate,Campus all students graduation rate,Campus African American graduation rate,Campus Asian graduation rate,Campus Hispanic graduation rate,Campus Multiracial graduation rate,Campus American Indian graduation rate,Campus Pacific Islander graduation rate,Campus White graduation rate,Campus economically disadvantaged graduation rate,Campus female graduation rate,Campus male graduation rate,Geocode Address
01/2019,12/2019,2019,No,227806043,University H S,2007 University Ave,Austin,78705,Charter,227806,University Of Texas University Cha,227,Travis County,13,Austin,0.904,0.688,,,1,0.5,,,0.692,0.667,0.667,0.7,POINT (-97.739579 30.283374)
01/2016,12/2016,2016,No,227907002,Manor Excel Academy,600 E Parsons St,Manor,78653,Public,227907,Manor ISD,227,Travis County,13,Austin,0.896,0.634,0.667,1,0.926,0.5,,,0.6,0.63,0.69,0.575,POINT (-97.551086 30.341783)
01/2019,12/2019,2019,No,227901018,Lasa H S,1012 Arthur Stiles Rd,Austin,78721,Public,227901,Austin ISD,227,Travis County,13,Austin,0.904,1,1,1,1,1,,1,1,1,1,1,POINT (-97.681004 30.257085)
01/2018,12/2018,2018,No,227901004,Lanier H S,1201 Payton Gin Rd,Austin,78758,Public,227901,Austin ISD,227,Travis County,13,Austin,0.895,0.96,0.962,1,0.957,1,1,,1,0.961,0.976,0.947,POINT (-97.708443 30.361618)
01/2016,12/2016,2016,No,227901014,Lbj High School,7309 Lazy Creek Dr,Austin,78724,Public,227901,Austin ISD,227,Travis County,13,Austin,0.896,0.921,0.95,1,0.901,1,,,1,0.935,0.965,0.873,POINT (-97.657488 30.314358)
01/2018,12/2018,2018,No,227904004,Hendrickson H S,19201 Colorado Sand Dr,Plugerville,78660,Public,227904,Pflugerville ISD,227,Travis County,13,Austin,0.895,0.98,0.955,1,0.976,1,1,1,0.991,0.967,0.988,0.972,
01/2019,12/2019,2019,No,227814001,Chaparral Star Academy,14046 Summit Dr,Austin,78727,Charter,227814,Chaparral Star Academy,227,Travis County,13,Austin,0.904,0.906,1,1,1,1,1,,0.85,,0.824,1,POINT (-97.691028 30.438166)
01/2018,12/2018,2018,No,227907001,Manor H S,12600 Gregg Manor Rd,Manor,78653,Public,227907,Manor ISD,227,Travis County,13,Austin,0.895,0.886,0.914,0.9,0.872,0.8,1,,0.95,0.885,0.925,0.845,POINT (-97.561494 30.350836)
01/2018,12/2018,2018,No,227814001,Chaparral Star Academy,14046 Summit Dr,Austin,78727,Charter,227814,Chaparral Star Academy,227,Travis County,13,Austin,0.895,1,1,1,1,,,,1,,1,1,POINT (-97.691028 30.438166)
01/2019,12/2019,2019,No,227909001,Westlake H S,4100 Westbank Dr,Austin,78746,Public,227909,Eanes ISD,227,Travis County,13,Austin,0.904,0.998,1,1,0.986,1,1,,1,1,1,0.997,POINT (-97.814159 30.2751)
01/2019,12/2019,2019,No,227803001,Wayside Sci-Tech Middle And H S,10704 Bradshaw Rd,Austin,78747,Charter,227803,Wayside Schools,227,Travis County,13,Austin,0.904,0.909,1,,0.889,1,,,1,0.944,0.905,0.917,POINT (-97.773994 30.13723)
01/2020,12/2020,2020,No,227901002,Austin H S,1715 W Cesar Chavez St,Austin,78703,Public,227901,Austin ISD,227,Travis County,13,Austin,0.897,0.984,1,1,0.964,1,-0.01,,0.996,0.952,0.985,0.984,POINT (-97.766118 30.274085)
01/2016,12/2016,2016,No,227901002,Austin H S,1715 W Cesar Chavez St,Austin,78703,Public,227901,Austin ISD,227,Travis County,13,Austin,0.896,0.959,0.947,1,0.975,0.917,,1,0.96,0.914,0.975,0.942,POINT (-97.766118 30.274085)
01/2019,12/2019,2019,No,227901006,Reagan H S,7104 Berkman Dr,Austin,78752,Public,227901,Austin ISD,227,Travis County,13,Austin,0.904,0.986,1,0.9,0.989,,,,1,0.989,0.983,0.99,POINT (-97.689635 30.323972)
01/2018,12/2018,2018,No,227901002,Austin H S,1715 W Cesar Chavez St,Austin,78703,Public,227901,Austin ISD,227,Travis County,13,Austin,0.895,0.962,0.9,1,0.957,1,,1,0.967,0.905,0.957,0.967,POINT (-97.766118 30.274085)
01/2020,12/2020,2020,No,227910001,Del Valle H S,5201 Ross Rd,Del Valle,78617,Public,227910,Del Valle ISD,227,Travis County,13,Austin,0.897,0.968,0.938,1,0.974,1,-0.01,,0.893,0.968,0.979,0.956,POINT (-97.61496 30.178552)
01/2017,12/2017,2017,No,227901002,Austin H S,1715 W Cesar Chavez St,Austin,78703,Public,227901,Austin ISD,227,Travis County,13,Austin,0.893,0.955,0.963,1,0.951,0.833,,,0.962,0.923,0.965,0.947,POINT (-97.766118 30.274085)
01/2016,12/2016,2016,No,227814001,Chaparral Star Academy,14046 Summit Dr,Austin,78727,Charter,227814,Chaparral Star Academy,227,Travis County,13,Austin,0.896,0.833,,0,0.965,,,,0.818,,0.875,0.8,POINT (-97.691028 30.438166)
01/2020,12/2020,2020,No,227816004,Harmony School Of Endeavor Austin,13415 Ranch Rd 620 N,Austin,78717,Charter,227816,Harmony Science Academy (Austin),227,Travis County,13,Austin,0.897,0.923,-0.01,0.857,1,-0.01,,,0.938,0.947,0.95,0.895,POINT (-97.786889 30.471192)
01/2017,12/2017,2017,No,227820001,Kipp Austin Collegiate,8004 Cameron Rd,Austin,78754,Charter,227820,Kipp Texas Public Schools,227,Travis County,13,Austin,0.893,0.951,1,,0.95,1,,,,0.944,0.971,0.932,POINT (-97.684775 30.335141)
01/2018,12/2018,2018,No,227901009,Anderson H S,8403 Mesa Dr,Austin,78759,Public,227901,Austin ISD,227,Travis County,13,Austin,0.895,0.976,0.958,0.974,0.97,1,,0,0.982,0.957,0.988,0.965,POINT (-97.754173 30.376358)
01/2019,12/2019,2019,No,227816004,Harmony School Of Endeavor Austin,13415 Ranch Rd 620 N,Austin,78717,Charter,227816,Harmony Science Academy (Austin),227,Travis County,13,Austin,0.904,0.909,1,1,0.667,,,,1,1,1,0.8,POINT (-97.786889 30.471192)
01/2020,12/2020,2020,No,227901008,Crockett H S,5601 Menchaca Rd,Austin,78745,Public,227901,Austin ISD,227,Travis County,13,Austin,0.897,0.981,0.952,-0.01,0.987,1,-0.01,,0.96,0.986,0.982,0.98,POINT (-97.797771 30.215236)
01/2017,12/2017,2017,No,227909001,Westlake H S,4100 Westbank Dr,Austin,78746,Public,227909,Eanes ISD,227,Travis County,13,Austin,0.893,0.989,1,1,0.98,1,0.75,,0.991,0.905,0.994,0.985,POINT (-97.814159 30.2751)
01/2020,12/2020,2020,No,227904004,Hendrickson H S,19201 Colorado Sand Dr,Plugerville,78660,Public,227904,Pflugerville ISD,227,Travis County,13,Austin,0.897,0.992,0.988,1,0.986,1,-0.01,-0.01,0.994,0.991,0.996,0.988,
01/2020,12/2020,2020,No,227912001,Lago Vista H S,5185 Lohman Ford Rd,Lago Vista,78645,Public,227912,Lago Vista ISD,227,Travis County,13,Austin,0.897,0.97,,-0.01,1,-0.01,,,0.958,0.938,0.977,0.964,POINT (-97.979769 30.438738)
01/2020,12/2020,2020,No,227907001,Manor H S,12600 Gregg Manor Rd,Manor,78653,Public,227907,Manor ISD,227,Travis County,13,Austin,0.897,0.907,0.958,0.714,0.906,0.75,-0.01,-0.01,0.857,0.903,0.946,0.866,POINT (-97.561494 30.350836)
01/2019,12/2019,2019,No,227901026,Graduation Prep Academy Lanier,1201 Payton Gin Rd,Austin,78758,Public,227901,Austin ISD,227,Travis County,13,Austin,0.904,0.548,0.625,1,0.521,,,,0.6,0.596,0.538,0.565,POINT (-97.708443 30.361618)
01/2019,12/2019,2019,No,227910002,Del Valle Opportunity Ctr,5301 Ross Rd,Austin,78617,Public,227910,Del Valle ISD,227,Travis County,13,Austin,0.904,0.796,0.7,1,0.809,,,,0.7,0.807,0.807,0.784,POINT (-97.615839 30.177931)
01/2020,12/2020,2020,No,227901005,McCallum H S,5600 Sunshine Dr,Austin,78756,Public,227901,Austin ISD,227,Travis County,13,Austin,0.897,0.961,1,1,0.928,1,-0.01,,0.973,0.926,0.971,0.951,POINT (-97.72931 30.325973)
01/2017,12/2017,2017,No,227814001,Chaparral Star Academy,14046 Summit Dr,Austin,78727,Charter,227814,Chaparral Star Academy,227,Travis County,13,Austin,0.893,0.917,1,1,1,1,,1,0.846,,0.933,0.889,POINT (-97.691028 30.438166)
01/2018,12/2018,2018,No,227904001,Pflugerville H S,1301 W Pecan St,Plugerville,78660,Public,227904,Pflugerville ISD,227,Travis County,13,Austin,0.895,0.965,0.972,0.956,0.965,0.889,,,0.973,0.963,0.978,0.953,POINT (-97.630645 30.44447)
01/2020,12/2020,2020,No,227901009,Anderson H S,8403 Mesa Dr,Austin,78759,Public,227901,Austin ISD,227,Travis County,13,Austin,0.897,0.977,0.966,1,0.972,0.947,-0.01,-0.01,0.979,0.971,0.98,0.975,POINT (-97.754173 30.376358)
01/2017,12/2017,2017,No,227901004,Lanier H S,1201 Payton Gin Rd,Austin,78758,Public,227901,Austin ISD,227,Travis County,13,Austin,0.893,0.949,0.963,1,0.952,0.5,1,,0.889,0.95,0.966,0.934,POINT (-97.708443 30.361618)
01/2020,12/2020,2020,No,227901019,Eastside Memorial Ec H S,1012 Arthur Stiles Rd,Austin,78721,Public,227901,Austin ISD,227,Travis County,13,Austin,0.897,0.956,1,,0.948,,,,-0.01,0.961,0.978,0.933,POINT (-97.681004 30.257085)
01/2019,12/2019,2019,No,227910001,Del Valle H S,5201 Ross Rd,Del Valle,78617,Public,227910,Del Valle ISD,227,Travis County,13,Austin,0.904,0.965,0.967,1,0.968,1,,,0.889,0.965,0.978,0.95,POINT (-97.61496 30.178552)
01/2020,12/2020,2020,No,227806043,University H S,2007 University Ave,Austin,78705,Charter,227806,University Of Texas University Cha,227,Travis County,13,Austin,0.897,0.385,,,0.4,,,,0.375,-0.01,-0.01,0.364,POINT (-97.739579 30.283374)
01/2018,12/2018,2018,No,227901013,Bowie H S,4103 W Slaughter Ln,Austin,78749,Public,227901,Austin ISD,227,Travis County,13,Austin,0.895,0.984,0.955,0.97,0.98,1,1,,0.988,0.952,0.98,0.987,POINT (-97.856475 30.188388)
01/2019,12/2019,2019,No,227901014,Lbj High School,7309 Lazy Creek Dr,Austin,78724,Public,227901,Austin ISD,227,Travis County,13,Austin,0.904,0.909,0.958,,0.879,1,,,0.75,0.904,0.961,0.87,POINT (-97.657488 30.314358)
01/2019,12/2019,2019,No,227901019,Eastside Memorial At The Johnston,1012 Arthur Stiles Rd,Austin,78721,Public,227901,Austin ISD,227,Travis County,13,Austin,0.904,0.927,1,1,0.912,,,,,0.921,0.914,0.941,POINT (-97.681004 30.257085)
01/2018,12/2018,2018,No,227910001,Del Valle H S,5201 Ross Rd,Del Valle,78617,Public,227910,Del Valle ISD,227,Travis County,13,Austin,0.895,0.936,0.986,0.6,0.936,1,1,1,0.865,0.926,0.947,0.922,POINT (-97.61496 30.178552)
01/2019,12/2019,2019,No,227901009,Anderson H S,8403 Mesa Dr,Austin,78759,Public,227901,Austin ISD,227,Travis County,13,Austin,0.904,0.978,0.972,0.961,0.967,1,,1,0.987,0.968,0.979,0.977,POINT (-97.754173 30.376358)
01/2016,12/2016,2016,No,227901028,Richards Sch For Young Women Leade,2309 Panther Trail,Austin,78704,Public,227901,Austin ISD,227,Travis County,13,Austin,0.896,1,1,1,1,1,,,1,1,1,,POINT (-97.788202 30.237963)
01/2020,12/2020,2020,No,227901018,Lasa H S,1012 Arthur Stiles Rd,Austin,78721,Public,227901,Austin ISD,227,Travis County,13,Austin,0.897,1,1,1,1,1,,,1,1,1,1,POINT (-97.681004 30.257085)
01/2018,12/2018,2018,No,227901006,Reagan H S,7104 Berkman Dr,Austin,78752,Public,227901,Austin ISD,227,Travis County,13,Austin,0.895,0.979,0.977,1,0.983,1,1,,0.875,0.975,0.969,0.991,POINT (-97.689635 30.323972)
01/2016,12/2016,2016,No,227901006,Reagan H S,7104 Berkman Dr,Austin,78752,Public,227901,Austin ISD,227,Travis County,13,Austin,0.896,0.968,0.952,1,0.969,1,1,,1,0.974,0.968,0.968,POINT (-97.689635 30.323972)
01/2016,12/2016,2016,No,227901015,Garza Independence H S,1600 Chicon St,Austin,78702,Public,227901,Austin ISD,227,Travis County,13,Austin,0.896,0.43,0.429,1,0.5,0,,,0.574,0.404,0.46,0.403,POINT (-97.720737 30.277589)
01/2016,12/2016,2016,No,227804101,Nyos Charter School,12301 N Lamar Blvd,Austin,78753,Charter,227804,Nyos Charter School,227,Travis County,13,Austin,0.896,0.98,1,1,1,,,,0.96,1,0.963,1,POINT (-97.67913 30.402243)
01/2018,12/2018,2018,No,227901026,Graduation Prep Academy Lanier,1201 Payton Gin Rd,Austin,78758,Public,227901,Austin ISD,227,Travis County,13,Austin,0.895,0.41,0.286,,0.429,0,,,0.5,0.375,0.485,0.321,POINT (-97.708443 30.361618)
01/2017,12/2017,2017,No,227901013,Bowie H S,4103 W Slaughter Ln,Austin,78749,Public,227901,Austin ISD,227,Travis County,13,Austin,0.893,0.979,1,1,0.962,1,1,,0.985,0.957,0.981,0.976,POINT (-97.856475 30.188388)
01/2017,12/2017,2017,No,227901028,Richards Sch For Young Women Leade,2309 Panther Trail,Austin,78704,Public,227901,Austin ISD,227,Travis County,13,Austin,0.893,1,1,1,1,1,,,1,1,1,,POINT (-97.788202 30.237963)
01/2017,12/2017,2017,No,227816002,Harmony Science Academy-Pflugervil,1421 Wells Branch Pkwy #200,Plugerville,78660,Charter,227816,Harmony Science Academy (Austin),227,Travis County,13,Austin,0.893,0.979,1,1,0.962,1,,,1,0.967,0.953,1,POINT (-97.663126 30.44057)
01/2016,12/2016,2016,No,227904003,John B Connally H S,13212 N Lamar Blvd,Austin,78753,Public,227904,Pflugerville ISD,227,Travis County,13,Austin,0.896,0.961,0.972,0.986,0.951,1,1,,0.923,0.97,0.965,0.957,POINT (-97.675682 30.417542)
01/2018,12/2018,2018,No,227820001,Kipp Austin Collegiate,8004 Cameron Rd,Austin,78754,Charter,227820,Kipp Texas Public Schools,227,Travis County,13,Austin,0.895,0.953,0.8,1,0.957,,,,1,0.96,0.972,0.936,POINT (-97.684775 30.335141)
01/2017,12/2017,2017,No,227912001,Lago Vista H S,5185 Lohman Ford Rd,Lago Vista,78645,Public,227912,Lago Vista ISD,227,Travis County,13,Austin,0.893,0.954,1,,0.895,1,,,0.963,0.909,0.962,0.947,POINT (-97.979769 30.438738)
01/2018,12/2018,2018,No,227816002,Harmony Science Academy-Pflugervil,1421 Wells Branch Pkwy #200,Plugerville,78660,Charter,227816,Harmony Science Academy (Austin),227,Travis County,13,Austin,0.895,0.978,1,0.941,0.977,1,,,1,1,0.984,0.973,POINT (-97.663126 30.44057)
01/2018,12/2018,2018,No,227816101,Harmony School Of Excellence - Aus,2100 E St Elmo Rd,Austin,78744,Charter,227816,Harmony Science Academy (Austin),227,Travis County,13,Austin,0.895,0.935,1,1,0.941,,,,0.833,0.917,0.903,0.968,POINT (-97.74644 30.209759)
01/2018,12/2018,2018,No,227901018,Lasa H S,1012 Arthur Stiles Rd,Austin,78721,Public,227901,Austin ISD,227,Travis County,13,Austin,0.895,0.996,1,1,0.978,1,,1,1,0.947,1,0.992,POINT (-97.681004 30.257085)
01/2019,12/2019,2019,No,227816101,Harmony School Of Excellence - Aus,2100 E St Elmo Rd,Austin,78744,Charter,227816,Harmony Science Academy (Austin),227,Travis County,13,Austin,0.904,0.949,1,,0.963,,,,0.667,0.961,0.97,0.923,POINT (-97.74644 30.209759)
01/2016,12/2016,2016,No,227913001,Lake Travis H S,3324 Ranch Rd 620 S,Austin,78738,Public,227913,Lake Travis ISD,227,Travis County,13,Austin,0.896,0.931,0.833,1,0.869,0.92,1,,0.947,0.833,0.958,0.906,POINT (-97.966855 30.33034)
01/2019,12/2019,2019,No,227901004,Lanier H S,1201 Payton Gin Rd,Austin,78758,Public,227901,Austin ISD,227,Travis County,13,Austin,0.904,0.966,0.909,0.778,0.976,1,,,1,0.979,0.976,0.952,POINT (-97.708443 30.361618)
01/2019,12/2019,2019,No,227804101,Nyos Charter School,12301 N Lamar Blvd,Austin,78753,Charter,227804,Nyos Charter School,227,Travis County,13,Austin,0.904,0.944,0.8,1,0.95,1,,,0.957,1,0.87,1,POINT (-97.67913 30.402243)
01/2017,12/2017,2017,No,227901014,Lbj High School,7309 Lazy Creek Dr,Austin,78724,Public,227901,Austin ISD,227,Travis County,13,Austin,0.893,0.938,0.93,,0.963,1,,,0.5,0.937,0.928,0.949,POINT (-97.657488 30.314358)
01/2017,12/2017,2017,No,227901025,Graduation Prep Academy Travis,1211 E Oltorf St,Austin,78704,Public,227901,Austin ISD,227,Travis County,13,Austin,0.893,0.391,0.2,0,0.44,0,,,0.2,0.471,0.5,0.308,POINT (-97.743904 30.234768)
01/2017,12/2017,2017,No,227907001,Manor H S,12600 Gregg Manor Rd,Manor,78653,Public,227907,Manor ISD,227,Travis County,13,Austin,0.893,0.908,0.913,1,0.912,1,1,,0.8,0.925,0.947,0.863,POINT (-97.561494 30.350836)
01/2019,12/2019,2019,No,227907004,Manor New Technology High,10323 US-290,Manor,78653,Public,227907,Manor ISD,227,Travis County,13,Austin,0.904,1,1,1,1,,,,1,1,1,1,
01/2018,12/2018,2018,No,227904003,John B Connally H S,13212 N Lamar Blvd,Austin,78753,Public,227904,Pflugerville ISD,227,Travis County,13,Austin,0.895,0.96,0.989,0.979,0.96,0.917,1,1,0.878,0.951,0.961,0.959,POINT (-97.675682 30.417542)
01/2018,12/2018,2018,No,227901005,McCallum H S,5600 Sunshine Dr,Austin,78756,Public,227901,Austin ISD,227,Travis County,13,Austin,0.895,0.962,0.922,1,0.94,1,1,,0.984,0.948,0.976,0.947,POINT (-97.72931 30.325973)
01/2020,12/2020,2020,No,227904001,Pflugerville H S,1301 W Pecan St,Plugerville,78660,Public,227904,Pflugerville ISD,227,Travis County,13,Austin,0.897,0.951,0.952,0.941,0.955,1,-0.01,,0.935,0.951,0.964,0.938,POINT (-97.630645 30.44447)
01/2020,12/2020,2020,No,227820001,Kipp Austin Collegiate,8004 Cameron Rd,Austin,78754,Charter,227820,Kipp Texas Public Schools,227,Travis County,13,Austin,0.897,0.949,1,,0.947,,,,-0.01,0.967,0.95,0.948,POINT (-97.684775 30.335141)
01/2017,12/2017,2017,No,227901007,Travis H S,1211 E Oltorf St,Austin,78704,Public,227901,Austin ISD,227,Travis County,13,Austin,0.893,0.914,0.833,0.667,0.932,1,1,,0.846,0.905,0.91,0.919,POINT (-97.743904 30.234768)
01/2020,12/2020,2020,No,227901007,Travis Early College H S,1301 E Oltorf St,Austin,78704,Public,227901,Austin ISD,227,Travis County,13,Austin,0.897,0.953,0.952,1,0.947,-0.01,,,1,0.959,0.978,0.925,POINT (-97.743627 30.23462)
01/2016,12/2016,2016,No,227901009,Anderson H S,8403 Mesa Dr,Austin,78759,Public,227901,Austin ISD,227,Travis County,13,Austin,0.896,0.969,0.875,0.974,0.958,0.938,1,,0.973,0.96,0.98,0.957,POINT (-97.754173 30.376358)
01/2018,12/2018,2018,No,227804101,Nyos Charter School,12301 N Lamar Blvd,Austin,78753,Charter,227804,Nyos Charter School,227,Travis County,13,Austin,0.895,1,1,1,1,1,,,1,1,1,1,POINT (-97.67913 30.402243)
01/2020,12/2020,2020,No,227901015,Garza Independence H S,1600 Chicon St,Austin,78702,Public,227901,Austin ISD,227,Travis County,13,Austin,0.897,0.321,0.2,-0.01,0.365,-0.01,-0.01,,0.289,0.379,0.328,0.311,POINT (-97.720737 30.277589)
01/2017,12/2017,2017,No,227901019,Eastside Memorial At The Johnston,1012 Arthur Stiles Rd,Austin,78721,Public,227901,Austin ISD,227,Travis County,13,Austin,0.893,0.921,0.8,1,0.942,1,1,,0.889,0.915,0.964,0.857,POINT (-97.681004 30.257085)
01/2016,12/2016,2016,No,227910002,Del Valle Opportunity Ctr,5301 Ross Rd,Del Valle,78617,Public,227910,Del Valle ISD,227,Travis County,13,Austin,0.896,0.783,0.75,1,0.916,1,1,,0.765,0.777,0.81,0.763,POINT (-97.615839 30.177931)
01/2020,12/2020,2020,No,227907004,Manor New Technology High,10323 US-290,Manor,78653,Public,227907,Manor ISD,227,Travis County,13,Austin,0.897,1,1,1,1,-0.01,,,1,1,1,1,
01/2019,12/2019,2019,No,227827001,The Excel Center (For Adults),1901 E Ben White Blvd,Austin,78741,Charter,227827,The Excel Center (For Adults),227,Travis County,13,Austin,0.904,0.323,0.25,0.6,0.322,0,0,,0.435,0.34,0.39,0.18,POINT (-97.746775 30.215744)
01/2018,12/2018,2018,No,227824002,The East Austin College Prep At Ml,6002 Jain Lane,Austin,78721,Charter,227824,Promesa Public Schools,227,Travis County,13,Austin,0.895,0.955,1,,0.952,,,,,0.947,0.952,0.957,POINT (-97.682861 30.260417)
01/2020,12/2020,2020,No,227901028,Richards Sch For Young Women Leade,2309 Panther Trail,Austin,78704,Public,227901,Austin ISD,227,Travis County,13,Austin,0.897,1,1,-0.01,1,-0.01,,,1,1,1,,POINT (-97.788202 30.237963)
01/2016,12/2016,2016,No,227901005,McCallum H S,5600 Sunshine Dr,Austin,78756,Public,227901,Austin ISD,227,Travis County,13,Austin,0.896,0.942,0.925,0.846,1,1,1,1,0.962,0.897,0.947,0.936,POINT (-97.72931 30.325973)
01/2019,12/2019,2019,No,227901013,Bowie H S,4103 W Slaughter Ln,Austin,78749,Public,227901,Austin ISD,227,Travis County,13,Austin,0.904,0.981,1,0.967,0.963,1,,,0.99,0.951,0.984,0.977,POINT (-97.856475 30.188388)
