Start Year,End Year,Data Year,State Accountability Calculation,Campus Number,Campus Name,Street Address,City,Zip Code,Type of School,District Number,District Name,County Number,County Name,Region Number,Region Name,Travis County all students graduation rate,Campus all students graduation rate,Campus African American graduation rate,Campus Asian graduation rate,Campus Hispanic graduation rate,Campus Multiracial graduation rate,Campus American Indian graduation rate,Campus Pacific Islander graduation rate,Campus White graduation rate,Campus economically disadvantaged graduation rate,Campus female graduation rate,Campus male graduation rate,Geocode Address
01/2020,12/2020,2020,No,227816002,Harmony Science Academy-Pflugervil,1421 Wells Branch Pkwy #200,Plugerville,78660,Charter,227816,Harmony Science Academy (Austin),227,Travis County,13,Austin,0.897,0.981,1,1,0.985,1,,,0.889,0.97,0.981,0.981,POINT (-97.663126 30.44057)
01/2018,12/2018,2018,No,227901014,Lbj High School,7309 Lazy Creek Dr,Austin,78724,Public,227901,Austin ISD,227,Travis County,13,Austin,0.895,0.937,0.949,,0.926,,1,,1,0.95,0.929,0.946,POINT (-97.657488 30.314358)
01/2018,12/2018,2018,No,227803001,Wayside Sci-Tech Middle And H S,10704 Bradshaw Rd,Austin,78747,Charter,227803,Wayside Schools,227,Travis County,13,Austin,0.895,0.905,1,1,,1,,,1,1,1,0.846,POINT (-97.773994 30.13723)
01/2020,12/2020,2020,No,227816101,Harmony School Of Excellence - Aus,2100 E St Elmo Rd,Austin,78744,Charter,227816,Harmony Science Academy (Austin),227,Travis County,13,Austin,0.897,0.925,-0.01,-0.01,0.93,,,,1,0.923,0.931,0.921,POINT (-97.74644 30.209759)
01/2020,12/2020,2020,No,227910002,Del Valle Opportunity Ctr,5301 Ross Rd,Austin,78617,Public,227910,Del Valle ISD,227,Travis County,13,Austin,0.897,0.615,0.6,-0.01,0.598,-0.01,-0.01,,0.75,0.623,0.737,0.535,POINT (-97.615839 30.177931)
01/2017,12/2017,2017,No,227804101,Nyos Charter School,12301 N Lamar Blvd,Austin,78753,Charter,227804,Nyos Charter School,227,Travis County,13,Austin,0.893,1,1,1,1,1,,,1,1,1,1,POINT (-97.67913 30.402243)
01/2016,12/2016,2016,No,227901026,Graduation Prep Academy Lanier,1201 Payton Gin Rd,Austin,78758,Public,227901,Austin ISD,227,Travis County,13,Austin,0.896,0.174,0,,0.211,0,,,,0.179,0.241,0.059,POINT (-97.708443 30.361618)
01/2017,12/2017,2017,No,227901008,Crockett H S,5601 Menchaca Rd,Austin,78745,Public,227901,Austin ISD,227,Travis County,13,Austin,0.893,0.953,0.913,0.667,0.991,0.857,,,0.833,0.955,0.962,0.943,POINT (-97.797771 30.215236)
01/2017,12/2017,2017,No,227910002,Del Valle Opportunity Ctr,5301 Ross Rd,Austin,78617,Public,227910,Del Valle ISD,227,Travis County,13,Austin,0.893,0.799,0.9,1,0.793,,,,0.706,0.804,0.778,0.815,POINT (-97.615839 30.177931)
01/2017,12/2017,2017,No,227904001,Pflugerville H S,1301 W Pecan St,Plugerville,78660,Public,227904,Pflugerville ISD,227,Travis County,13,Austin,0.893,0.963,0.969,0.957,0.964,1,1,1,0.952,0.958,0.969,0.957,POINT (-97.630645 30.44447)
01/2017,12/2017,2017,No,227901018,Lasa H S,1012 Arthur Stiles Rd,Austin,78721,Public,227901,Austin ISD,227,Travis County,13,Austin,0.893,1,1,1,1,1,1,1,1,1,1,1,POINT (-97.681004 30.257085)
01/2018,12/2018,2018,No,227816004,Harmony School Of Endeavor Austin,13415 Ranch Rd 620 N,Austin,78717,Charter,227816,Harmony Science Academy (Austin),227,Travis County,13,Austin,0.895,1,1,1,1,1,,,1,1,1,1,POINT (-97.786889 30.471192)
01/2017,12/2017,2017,No,227901005,McCallum H S,5600 Sunshine Dr,Austin,78756,Public,227901,Austin ISD,227,Travis County,13,Austin,0.893,0.942,0.897,1,0.935,0.941,1,,0.954,0.891,0.952,0.932,POINT (-97.72931 30.325973)
01/2020,12/2020,2020,No,227907002,Manor Excel Academy,600 E Parsons St,Manor,78653,Public,227907,Manor ISD,227,Travis County,13,Austin,0.897,0.382,0.545,,0.379,-0.01,,,0.167,0.444,0.519,0.306,POINT (-97.551086 30.341783)
01/2020,12/2020,2020,No,227901006,Northeast Early College H S,7104 Berkman Dr,Austin,78752,Public,227901,Austin ISD,227,Travis County,13,Austin,0.897,0.991,1,-0.01,0.989,-0.01,,,1,0.99,0.99,0.992,POINT (-97.689635 30.323972)
01/2016,12/2016,2016,No,227904004,Hendrickson H S,19201 Colorado Sand Dr,Plugerville,78660,Public,227904,Pflugerville ISD,227,Travis County,13,Austin,0.896,0.975,0.977,0.969,0.98,1,1,1,0.967,0.962,0.987,0.964,
01/2019,12/2019,2019,No,227824002,The East Austin College Prep At Ml,6002 Jain Lane,Austin,78721,Charter,227824,Promesa Public Schools,227,Travis County,13,Austin,0.904,0.949,1,,0.946,,,,,0.943,0.947,0.951,POINT (-97.682861 30.260417)
01/2019,12/2019,2019,No,227901005,McCallum H S,5600 Sunshine Dr,Austin,78756,Public,227901,Austin ISD,227,Travis County,13,Austin,0.904,0.966,0.938,1,0.956,1,,,0.973,0.965,0.975,0.956,POINT (-97.72931 30.325973)
01/2019,12/2019,2019,No,227904001,Pflugerville H S,1301 W Pecan St,Plugerville,78660,Public,227904,Pflugerville ISD,227,Travis County,13,Austin,0.904,0.955,0.952,1,0.954,1,1,,0.935,0.957,0.965,0.945,POINT (-97.630645 30.44447)
01/2016,12/2016,2016,No,227901018,Lasa H S,1012 Arthur Stiles Rd,Austin,78721,Public,227901,Austin ISD,227,Travis County,13,Austin,0.896,1,1,1,1,1,,,1,1,1,1,POINT (-97.681004 30.257085)
01/2019,12/2019,2019,No,227901028,Richards Sch For Young Women Leade,2309 Panther Trail,Austin,78704,Public,227901,Austin ISD,227,Travis County,13,Austin,0.904,1,1,1,1,1,,,1,1,1,,POINT (-97.788202 30.237963)
01/2016,12/2016,2016,No,227820001,Kipp Austin Collegiate,8004 Cameron Rd,Austin,78754,Charter,227820,Kipp Texas Public Schools,227,Travis County,13,Austin,0.896,0.925,,,0.925,,,,,0.927,0.933,0.917,POINT (-97.684775 30.335141)
01/2019,12/2019,2019,No,227907002,Manor Excel Academy,600 E Parsons St,Manor,78653,Public,227907,Manor ISD,227,Travis County,13,Austin,0.904,0.576,0.571,0.5,0.629,0,,,0.2,0.576,0.61,0.545,POINT (-97.551086 30.341783)
